"...1","Identificador","ual_prov","ual_estr","ual_segm","al_ncues","fp_numt","fp_numl","rc_clacul","fp_k704","fp_k705","fp_k706ha","fp_k707ha","fp_k708","fp_k709","fp_k710","fp_k711","fp_k712","fp_venmernac","fp_venmerint","fp_prepasuelo","fp_poda","fp_tutoreo","fp_despunte","fp_riego","fp_superf_regada_ha","fp_porc_surc","fp_porc_aspe","fp_porc_micr","fp_porc_gote","fp_porc_nebu","fp_porc_otro","fp_obsmetrie","fp_aferti","fp_forg","fp_cant1_fo","fp_umed1_fo","fp_cant2_fo","fp_umed2_fo","fp_cant3_fo","fp_umed3_fo","fp_fqui","fp_cantidad_npk_fq","fp_umed_npk_fq","fp_cantidad_nit_fq","fp_umed_nit_fq","fp_cantidad_fq","fp_umed_fq","fp_cantidad_pot_fq","fp_umed_pot_fq","fp_afito","fp_porg","fp_cantidad_po","fp_umedida_po","fp_pqui","fp_cantidad_her_pq","fp_umed_her_pq","fp_color_her_pq","fp_cantidad_ins_pq","fp_umed_ins_pq","fp_color_ins_pq","fp_cantidad_fun_pq","fp_umed_fun_pq","fp_color_fun_pq","fp_cantidad_pq","fp_umed_pq","fp_color_pq","fp_trabocacont","fp_trabfami","fp_clacu","fp_full_tabaco","fp_tabaco","fp_Bonche","fp_Bouquet","fp_tn","fact_exp_fin"
345,"17045463000993532","17","63","00099","3532",2,2,716,1,7,5.76,5.76,423000,4717500,1,16040,250,NA,100,1,1,1,1,1,5.76,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,45995,2,NA,NA,1,NA,NA,23008,2,3022,2,4317,2,1,1,132,2,1,NA,NA,NA,35,5,3,2014,5,4,91,5,3,NA,NA,716,16040,NA,NA,NA,1,1
346,"17045463000993532","17","63","00099","3532",3,3,716,1,3,5.47,5.47,455000,5069500,1,17236,250,NA,100,1,1,1,1,1,5.47,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,43680,2,NA,NA,1,NA,NA,21849,2,2870,2,4100,2,1,1,125,2,1,NA,NA,NA,34,5,3,1913,5,4,86,5,3,NA,NA,716,17236,NA,NA,NA,1,1
347,"17045463000993533","17","63","00099","3533",1,1,716,1,16,0.84,0.84,62527,836997,1,2240,350,NA,100,1,1,1,1,1,0.84,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,509,2,330.12,2,1.31,2,1,1,44.6,5,1,NA,NA,NA,16.97,2,3,265.44,2,3,NA,NA,NA,18,1,716,2240,NA,NA,NA,1,1
348,"17045463000993533","17","63","00099","3533",2,2,716,1,15,0.18,0.18,13536,121795,1,326,350,NA,100,1,1,1,1,1,0.18,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,101,2,70.74,2,0.28,2,1,1,9.55,5,1,NA,NA,NA,3.64,2,3,56.88,2,3,NA,NA,NA,NA,NA,716,326,NA,NA,NA,1,1
349,"17045463000993533","17","63","00099","3533",3,3,716,1,14,0.25,0.25,18897,237732,1,636,350,NA,100,1,1,1,1,1,0.25,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,151.5,2,98.25,2,0.38,2,1,1,13.27,5,1,NA,NA,NA,5.05,2,3,79,2,3,NA,NA,NA,NA,NA,716,636,NA,NA,NA,1,1
350,"17045463000993533","17","63","00099","3533",4,4,716,1,12,0.34,0.34,26983,283322,1,758,350,NA,100,1,1,1,1,1,0.34,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,206.04,2,133.62,2,0.53,2,1,1,18.02,5,1,NA,NA,NA,6.87,2,3,107.44,2,3,NA,NA,NA,NA,NA,716,758,NA,NA,NA,1,1
351,"17045463000993533","17","63","00099","3533",5,5,716,1,11,0.82,0.82,65218,683184,1,1828,350,NA,100,1,1,1,1,1,0.82,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,496.92,2,322.26,2,1.27,2,1,1,43.54,5,1,NA,NA,NA,16.56,2,3,259.12,2,3,NA,NA,NA,NA,NA,716,1828,NA,NA,NA,1,1
352,"17045463000993533","17","63","00099","3533",6,6,716,1,10,0.46,0.46,38776,294978,1,789,350,NA,100,1,1,1,1,1,0.46,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,278.76,2,180.78,2,0.71,2,1,1,24.42,5,1,NA,NA,NA,9.29,2,3,145.36,2,3,NA,NA,NA,NA,NA,716,789,NA,NA,NA,1,1
353,"17045463000993533","17","63","00099","3533",7,7,716,1,9,0.42,0.42,35512,261440,1,700,350,NA,100,1,1,1,1,1,0.42,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,254.5,2,165.06,2,0.65,2,1,1,22.3,5,1,NA,NA,NA,8.48,2,3,132.72,2,3,NA,NA,NA,NA,NA,716,700,NA,NA,NA,1,1
354,"17045463000993533","17","63","00099","3533",8,8,716,1,8,1.28,1.28,109350,1378746,1,3939,350,NA,100,1,1,1,1,1,1.28,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,775.68,2,503.04,2,1.98,2,1,1,67.97,5,1,NA,NA,NA,25.87,2,3,404.48,2,3,NA,NA,NA,NA,NA,716,3939,NA,NA,NA,1,1
355,"17045463000993533","17","63","00099","3533",9,9,716,1,7,0.59,0.59,49354,571054,1,1528,350,NA,100,1,1,1,1,1,0.59,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,357.54,2,231.87,2,0.91,2,1,1,31.33,5,1,NA,NA,NA,11.91,2,3,186.44,2,3,NA,NA,NA,NA,NA,716,1528,NA,NA,NA,1,1
356,"17045463000993533","17","63","00099","3533",10,10,716,1,6,0.73,0.73,63656,464628,1,1319,350,NA,100,1,1,1,1,1,0.73,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,442.38,2,286.89,2,1.13,2,1,1,38.76,5,1,NA,NA,NA,14.75,2,3,230.68,2,3,NA,NA,NA,NA,NA,716,1319,NA,NA,NA,1,1
357,"17045463000993533","17","63","00099","3533",11,11,716,1,5,1.5,1.5,125550,1392360,1,3726,350,NA,100,1,1,1,1,1,1.5,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,909,2,589.5,2,2.33,2,1,1,79.65,5,1,NA,NA,NA,30.3,2,3,474,2,3,NA,NA,NA,NA,NA,716,3726,NA,NA,NA,1,1
358,"17045463000993533","17","63","00099","3533",12,12,716,1,3,0.35,0.35,27300,320583,1,858,350,NA,100,1,1,1,1,1,0.35,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,212.1,2,137.55,2,0.54,2,1,1,18.59,5,1,NA,NA,NA,7.07,2,3,110.6,2,3,NA,NA,NA,NA,NA,716,858,NA,NA,NA,1,1
